id;transaction_id;file;file_binaries;file_binaries_content_type;transaction_type;amount;time;currency;source_account;target_account
1;Kentucky;Ergonomic Concrete Soap;../fake-data/blob/hipster.png;image/png;Chips COM;99553;2021-02-18T06:51:35;SGD;Operations cross-platform Shirt;red invoice
2;implement internet solution;matrix Engineer;../fake-data/blob/hipster.png;image/png;Fresh didactic;60550;2021-02-19T02:59:55;MYR;Auto Loan Account Zimbabwe;Licensed Sleek Fresh Ball interface
3;invoice;next-generation incentivize;../fake-data/blob/hipster.png;image/png;high-level Small Assistant;78429;2021-02-19T01:06:27;MYR;primary;Berkshire Pizza
4;Facilitator Regional Northern Mariana Islands;Ergonomic Fantastic;../fake-data/blob/hipster.png;image/png;clear-thinking enable transmit;55214;2021-02-19T01:21:16;SGD;Alabama;port models Dynamic
5;5th generation Maryland Personal Loan Account;Cambridgeshire Pizza Forward;../fake-data/blob/hipster.png;image/png;Berkshire hard drive;78909;2021-02-18T09:13:51;MYR;parsing metrics;Gardens holistic Savings Account
6;Bedfordshire Indonesia SCSI;Industrial Danish Krone Producer;../fake-data/blob/hipster.png;image/png;Awesome Personal Loan Account;87484;2021-02-19T04:42:40;SGD;deposit white Automotive;Rustic Alabama
7;Malaysia;SCSI eyeballs Chair;../fake-data/blob/hipster.png;image/png;mint green card;65230;2021-02-18T21:06:34;MYR;best-of-breed Automotive;sky blue capacitor Pound Sterling
8;Auto Loan Account software;Drive integrated;../fake-data/blob/hipster.png;image/png;Sharable Global USB;55758;2021-02-19T01:54:17;SGD;Rubber Tuna;maroon Malagasy Ariary Gloves
9;Morocco B2C Consultant;value-added AI Peso Uruguayo Uruguay Peso en Unidades Indexadas;../fake-data/blob/hipster.png;image/png;parse initiatives Concrete;59099;2021-02-19T05:05:01;SGD;end-to-end Metrics Montana;experiences Kids
10;Soft Soft monitoring;indigo Architect Mississippi;../fake-data/blob/hipster.png;image/png;Gloves Wooden;97253;2021-02-18T10:22:39;MYR;1080p;empowering
