I210226 02:17:42.965684 1 util/log/sync_buffer.go:195 ⋮ [config] file created at: 2021/02/26 02:17:42
I210226 02:17:42.965698 1 util/log/sync_buffer.go:195 ⋮ [config] running on machine: ‹Azruls-MacBook-Pro›
I210226 02:17:42.965706 1 util/log/sync_buffer.go:195 ⋮ [config] binary: CockroachDB CCL v20.2.3 (x86_64-apple-darwin14, built 2020/12/14 18:37:58, go1.13.14)
I210226 02:17:42.965711 1 util/log/sync_buffer.go:195 ⋮ [config] arguments: ‹[cockroach start --certs-dir=certs --store=node3 --listen-addr=localhost:26259 --http-addr=localhost:8082 --join=localhost:26257,localhost:26258,localhost:26259]›
I210226 02:17:42.965726 1 util/log/sync_buffer.go:195 ⋮ [config] line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid file:line msg utf8=✓
W210226 02:17:42.965330 1 cli/start.go:983 ⋮ ‹Using the default setting for --cache (128 MiB).›
‹  A significantly larger value is usually needed for good performance.›
‹  If you have a dedicated server a reasonable setting is --cache=.25 (4.0 GiB).›
I210226 02:17:42.969322 1 cli/start.go:1164 ⋮ ‹CockroachDB CCL v20.2.3 (x86_64-apple-darwin14, built 2020/12/14 18:37:58, go1.13.14)›
I210226 02:17:42.970440 1 server/config.go:434 ⋮ system total memory: ‹16 GiB›
I210226 02:17:42.970469 1 server/config.go:436 ⋮ server configuration:
‹max offset             500000000›
‹cache size             128 MiB›
‹SQL memory pool size   4.0 GiB›
‹scan interval          10m0s›
‹scan min idle time     10ms›
‹scan max idle time     1s›
‹event log enabled      true›
I210226 02:17:42.970535 1 cli/start.go:961 ⋮ using local environment variables: ‹COCKROACH_BACKGROUND_RESTART=1›
I210226 02:17:42.970609 1 cli/start.go:968 ⋮ process identity: ‹uid 501 euid 501 gid 20 egid 20›
I210226 02:17:42.972886 1 cli/start.go:504 ⋮ GEOS loaded from directory ‹/usr/local/lib/cockroach›
I210226 02:17:42.972910 1 cli/start.go:509 ⋮ starting cockroach node
I210226 02:17:42.976215 70 rpc/tls.go:270 ⋮ [n?] server certificate addresses: ‹IP=10.106.0.2,46.101.1.218,127.0.0.1; DNS=host1,ubuntu-s-4vcpu-8gb-lon1-01,localhost; CN=node›
I210226 02:17:42.976255 70 rpc/tls.go:319 ⋮ [n?] web UI certificate addresses: ‹IP=10.106.0.2,46.101.1.218,127.0.0.1; DNS=host1,ubuntu-s-4vcpu-8gb-lon1-01,localhost; CN=node›
I210226 02:17:43.128233 70 server/server.go:782 ⋮ [n?] monitoring forward clock jumps based on server.clock.forward_jump_check_enabled
I210226 02:17:43.247409 70 server/config.go:625 ⋮ [n?] 1 storage engine‹› initialized
I210226 02:17:43.247596 70 server/config.go:628 ⋮ [n?] ‹Pebble cache size: 128 MiB›
I210226 02:17:43.247645 70 server/config.go:628 ⋮ [n?] ‹store 0: RocksDB, max size 0 B, max open file limit 10000›
I210226 02:17:43.266168 70 util/log/log.go:50 ⋮ initial startup completed
Node will now attempt to join a running cluster, or wait for `cockroach init`.
Client connections will be accepted after this completes successfully.
Check the log file(s) for progress. 
I210226 02:17:43.312304 70 server/init.go:208 ⋮ [n?] no stores bootstrapped
I210226 02:17:43.312344 70 server/init.go:209 ⋮ [n?] awaiting `cockroach init` or join with an already initialized node
W210226 02:17:43.320755 65 server/init.go:434 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:43.327877 65 server/init.go:434 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:44.335710 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:45.340477 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:46.338689 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:47.339788 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:48.339999 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:49.339137 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:50.335177 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:51.336764 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:52.334859 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:53.333558 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:54.338804 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:55.335262 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:56.336038 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:57.336385 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:17:58.335287 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:17:59.336069 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:18:00.335357 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:18:01.336784 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:18:02.334795 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:18:03.334512 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:18:04.337979 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
W210226 02:18:05.336116 65 server/init.go:472 ⋮ [n?] ‹localhost:26258› is itself waiting for init, will retry
W210226 02:18:06.336375 65 server/init.go:472 ⋮ [n?] ‹localhost:26257› is itself waiting for init, will retry
