timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613909251007,9622,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-1,text,true,,2871,391,2,2,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,9622,0,8375
1613909260007,3217,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-2,text,true,,2871,391,2,2,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,3217,0,2542
1613909269012,3378,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-3,text,true,,2871,391,3,3,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,3378,0,2740
1613909270634,6542,Add transaction data - PROD,201,Created,Http URL/API Test 1-1,text,true,,1569,139367,3,3,https://host4:8443/api/transactions/,6542,0,1745
1613909273225,7136,Add transaction data - PROD,201,Created,Http URL/API Test 1-2,text,true,,1569,139367,4,4,https://host4:8443/api/transactions/,7136,0,3760
1613909278006,3474,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-4,text,true,,2871,391,4,4,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,3474,0,2347
1613909287007,2386,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-5,text,true,,2871,391,5,5,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,2386,0,1437
1613909287178,9854,Get transaction data - PROD,200,OK,Http URL/API Test 1-1,text,true,,138935,1593,6,6,https://host4:8443/api/transactions/47619,1373,0,0
1613909282396,16580,Add transaction data - PROD,201,Created,Http URL/API Test 1-3,text,true,,1569,139367,6,6,https://host4:8443/api/transactions/,16580,0,3379
1613909296008,3503,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-6,text,true,,2871,391,6,6,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,3503,0,2765
1613909290368,11355,Get transaction data - PROD,200,OK,Http URL/API Test 1-2,text,true,,138936,1593,6,6,https://host4:8443/api/transactions/47431,5745,0,0
1613909291484,10241,Add transaction data - PROD,201,Created,Http URL/API Test 1-4,text,true,,1569,139367,6,6,https://host4:8443/api/transactions/,10241,0,6475
1613909299395,5415,Add transaction data - PROD,201,Created,Http URL/API Test 1-5,text,true,,1569,139367,6,6,https://host4:8443/api/transactions/,5415,0,2963
1613909305014,1855,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-7,text,true,,2871,391,7,7,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,1855,0,1327
1613909307037,1456,,201,Created,Http URL/API Test 1-1,text,true,,1569,139367,7,7,https://host4:8443/api/transactions/,1456,0,0
1613909308979,4253,Get transaction data - PROD,200,OK,Http URL/API Test 1-3,text,true,,138927,1593,7,7,https://host4:8443/api/transactions/47432,1910,0,0
1613909311727,2581,,201,Created,Http URL/API Test 1-2,text,true,,1569,139367,8,8,https://host4:8443/api/transactions/,2581,0,0
1613909309513,5231,Add transaction data - PROD,201,Created,Http URL/API Test 1-6,text,true,,1569,139367,8,8,https://host4:8443/api/transactions/,5231,0,2572
1613909314008,1873,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-8,text,true,,2871,391,8,8,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,1873,0,1144
1613909311727,5091,Get transaction data - PROD,200,OK,Http URL/API Test 1-4,text,true,,138920,1593,8,8,https://host4:8443/api/transactions/47529,1281,0,0
1613909316873,7018,Add transaction data - PROD,201,Created,Http URL/API Test 1-7,text,true,,1569,139367,9,9,https://host4:8443/api/transactions/,7018,0,3999
1613909326819,4574,,201,Created,Http URL/API Test 1-4,text,true,,1569,139367,9,9,https://host4:8443/api/transactions/,4574,0,0
1613909318497,13270,,200,OK,Http URL/API Test 1-1,text,true,,138928,1593,9,9,https://host4:8443/api/transactions/47433,3611,0,0
1613909314813,17631,Get transaction data - PROD,200,OK,Http URL/API Test 1-5,text,true,,138928,1593,10,10,https://host4:8443/api/transactions/47620,2306,0,0
1613909323005,9848,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-9,text,true,,2871,391,10,10,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,9848,0,1685
1613909323235,10268,,201,Created,Http URL/API Test 1-3,text,true,,1569,139367,10,10,https://host4:8443/api/transactions/,10268,0,0
1613909332005,1983,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-10,text,true,,2871,391,10,10,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,1983,0,1494
1613909324311,10030,,200,OK,Http URL/API Test 1-2,text,true,,138944,1593,10,10,https://host4:8443/api/transactions/47434,5937,0,0
1613909325885,9437,Add transaction data - PROD,201,Created,Http URL/API Test 1-8,text,true,,1569,139367,10,10,https://host4:8443/api/transactions/,9437,0,5961
1613909333894,5144,Get transaction data - PROD,200,OK,Http URL/API Test 1-7,text,true,,138928,1593,10,10,https://host4:8443/api/transactions/47531,917,0,0
1613909341009,2292,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-11,text,true,,2871,391,11,11,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,2292,0,1405
1613909342445,1509,,201,Created,Http URL/API Test 1-5,text,true,,1569,139367,11,11,https://host4:8443/api/transactions/,1509,0,0
1613909324745,25138,Get transaction data - PROD,200,OK,Http URL/API Test 1-6,text,true,,138928,1593,11,11,https://host4:8443/api/transactions/47530,8516,0,0
1613909349042,2942,,201,Created,Http URL/API Test 1-7,text,true,,1569,139367,12,12,https://host4:8443/api/transactions/,2942,0,0
1613909341394,11839,,200,OK,Http URL/API Test 1-4,text,true,,138952,1593,12,12,https://host4:8443/api/transactions/47532,1030,0,0
1613909341768,11477,,201,Created,Http URL/API Test 1-1,text,true,,1569,139367,12,12,https://host4:8443/api/transactions/,11477,0,2443
1613909343993,9287,Add transaction data - PROD,201,Created,Http URL/API Test 1-10,text,true,,1569,139367,12,12,https://host4:8443/api/transactions/,9287,0,5737
1613909350005,7172,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-12,text,true,,2871,391,12,12,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,7172,0,3623
1613909345324,12870,Get transaction data - PROD,200,OK,Http URL/API Test 1-8,text,true,,138943,1593,12,12,https://host4:8443/api/transactions/47533,4666,0,0
1613909342858,15389,Add transaction data - PROD,201,Created,Http URL/API Test 1-9,text,true,,1569,139367,12,12,https://host4:8443/api/transactions/,15389,0,6184
1613909353957,5572,,200,OK,Http URL/API Test 1-5,text,true,,138928,1593,13,13,https://host4:8443/api/transactions/47435,3320,0,0
1613909344345,15189,,201,Created,Http URL/API Test 1-2,text,true,,1569,139367,13,13,https://host4:8443/api/transactions/,15189,0,12766
1613909359006,2043,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-13,text,true,,2871,391,13,13,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,2043,0,1277
1613909359888,1327,,201,Created,Http URL/API Test 1-6,text,true,,1569,139367,13,13,https://host4:8443/api/transactions/,1327,0,0
1613909343506,18763,,200,OK,Http URL/API Test 1-3,text,true,,138936,1593,13,13,https://host4:8443/api/transactions/47621,13617,0,4341
1613909353302,12680,Add transaction data - PROD,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to host4:8443 [host4/178.62.14.47] failed: Read timed out,Http URL/API Test 1-11,text,false,,3473,0,13,13,https://host4:8443/api/transactions/,0,0,12680
1613909363282,4817,Get transaction data - PROD,200,OK,Http URL/API Test 1-10,text,true,,138936,1593,14,14,https://host4:8443/api/transactions/47534,3349,0,0
1613909363239,6221,,201,Created,Http URL/API Test 1-4,text,true,,1569,139367,14,14,https://host4:8443/api/transactions/,6221,0,3889
1613909367183,7481,Add transaction data - PROD,201,Created,Http URL/API Test 1-12,text,true,,1569,139367,14,14,https://host4:8443/api/transactions/,7481,0,1294
1613909368195,6817,,201,Created,Http URL/API Test 1-8,text,true,,1569,139367,14,14,https://host4:8443/api/transactions/,6817,0,0
1613909368010,7108,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-14,text,true,,2871,391,14,14,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,7108,0,1330
1613909372271,3953,,201,Created,Http URL/API Test 1-3,text,true,,1569,139367,14,14,https://host4:8443/api/transactions/,3953,0,0
1613909371054,7048,Add transaction data - PROD,201,Created,Http URL/API Test 1-13,text,true,,1569,139367,15,15,https://host4:8443/api/transactions/,7048,0,4173
1613909368253,10352,Get transaction data - PROD,200,OK,Http URL/API Test 1-9,text,true,,138944,1593,15,15,https://host4:8443/api/transactions/47535,1745,0,0
1613909369533,9076,,201,Created,Http URL/API Test 1-5,text,true,,1569,139367,15,15,https://host4:8443/api/transactions/,9076,0,6118
1613909375984,2856,Get transaction data - PROD,200,OK,Http URL/API Test 1-11,text,true,,7081,1588,15,15,https://host4:8443/api/transactions/,2856,0,2283
1613909361986,17225,,200,OK,Http URL/API Test 1-7,text,true,,138976,1593,15,15,https://host4:8443/api/transactions/47436,4837,0,0
1613909377010,3338,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-15,text,true,,2871,391,15,15,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,3338,0,2305
1613909378100,2252,,201,Created,Http URL/API Test 1-10,text,true,,1569,139367,15,15,https://host4:8443/api/transactions/,2252,0,0
1613909363250,20683,,200,OK,Http URL/API Test 1-1,text,true,,138936,1593,15,15,https://host4:8443/api/transactions/47622,3372,0,0
1613909388609,5277,,201,Created,Http URL/API Test 1-9,text,true,,1569,139367,16,16,https://host4:8443/api/transactions/,5277,0,0
1613909386009,8167,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-16,text,true,,2871,391,16,16,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,8167,0,7525
1613909388840,6426,,201,Created,Http URL/API Test 1-11,text,true,,1569,139367,17,17,https://host4:8443/api/transactions/,6426,0,0
1613909389213,8933,,201,Created,Http URL/API Test 1-7,text,true,,1569,139367,17,17,https://host4:8443/api/transactions/,8933,0,4539
1613909393935,4490,,201,Created,Http URL/API Test 1-1,text,true,,1569,139367,17,17,https://host4:8443/api/transactions/,4490,0,0
1613909385119,13709,Add transaction data - PROD,Non HTTP response code: org.apache.http.conn.ConnectTimeoutException,Non HTTP response message: Connect to host4:8443 [host4/178.62.14.47] failed: Read timed out,Http URL/API Test 1-14,text,false,,3473,0,17,17,https://host4:8443/api/transactions/,0,0,13709
1613909395005,5999,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-17,text,true,,2871,391,17,17,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,5999,0,3360
1613909390351,12110,Add transaction data - PROD,201,Created,Http URL/API Test 1-15,text,true,,1569,139367,17,17,https://host4:8443/api/transactions/,12110,0,5746
1613909369540,33808,,200,OK,Http URL/API Test 1-2,text,true,,138920,1593,17,17,https://host4:8443/api/transactions/47623,8849,0,0
1613909388103,15977,Get transaction data - PROD,200,OK,Http URL/API Test 1-13,text,true,,138935,1593,18,18,https://host4:8443/api/transactions/47626,5662,0,0
1613909404005,1918,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-18,text,true,,2871,391,18,18,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,1918,0,1197
1613909371220,35464,,200,OK,Http URL/API Test 1-6,text,true,,138928,1593,18,18,https://host4:8443/api/transactions/47437,5373,0,4017
1613909379464,27270,,200,OK,Http URL/API Test 1-4,text,true,,138936,1593,18,18,https://host4:8443/api/transactions/47624,898,0,0
1613909404178,6347,Add transaction data - PROD,201,Created,Http URL/API Test 1-16,text,true,,1569,139367,18,18,https://host4:8443/api/transactions/,6347,0,1155
1613909403889,7517,,200,OK,Http URL/API Test 1-9,text,true,,138936,1593,18,18,https://host4:8443/api/transactions/47538,2242,0,1212
1613909408832,3288,Get transaction data - PROD,200,OK,Http URL/API Test 1-14,text,true,,7081,1588,18,18,https://host4:8443/api/transactions/,3288,0,2690
1613909385016,27665,,200,OK,Http URL/API Test 1-8,text,true,,138968,1593,18,18,https://host4:8443/api/transactions/47625,18248,0,0
1613909408148,6008,,200,OK,Http URL/API Test 1-7,text,true,,138928,1593,19,19,https://host4:8443/api/transactions/47440,2907,0,0
1613909405270,9364,,200,OK,Http URL/API Test 1-11,text,true,,138928,1593,19,19,https://host4:8443/api/transactions/47627,1566,0,0
1613909390353,24682,,200,OK,Http URL/API Test 1-10,text,true,,138968,1593,19,19,https://host4:8443/api/transactions/47439,4771,0,0
1613909413013,2221,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-19,text,true,,2871,391,19,19,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,2221,0,1705
1613909414080,1253,,201,Created,Http URL/API Test 1-13,text,true,,1569,139367,19,19,https://host4:8443/api/transactions/,1253,0,0
1613909411015,8970,Add transaction data - PROD,201,Created,Http URL/API Test 1-17,text,true,,1569,139367,19,19,https://host4:8443/api/transactions/,8970,0,1177
1613909416736,3611,,201,Created,Http URL/API Test 1-4,text,true,,1569,139367,19,19,https://host4:8443/api/transactions/,3611,0,0
1613909384668,36104,Get transaction data - PROD,200,OK,Http URL/API Test 1-12,text,true,,138944,1593,19,19,https://host4:8443/api/transactions/47536,13656,0,0
1613909388613,32501,,200,OK,Http URL/API Test 1-5,text,true,,138928,1593,19,19,https://host4:8443/api/transactions/47438,23865,0,0
1613909412466,9042,Get transaction data - PROD,200,OK,Http URL/API Test 1-15,text,true,,138920,1593,19,19,https://host4:8443/api/transactions/47628,2211,0,0
1613909415927,6502,Add transaction data - PROD,201,Created,Http URL/API Test 1-18,text,true,,1569,139367,20,20,https://host4:8443/api/transactions/,6502,0,4083
1613909416689,6011,,201,Created,Http URL/API Test 1-6,text,true,,1569,139367,20,20,https://host4:8443/api/transactions/,6011,0,0
1613909421411,2504,,201,Created,Http URL/API Test 1-9,text,true,,1569,139367,20,20,https://host4:8443/api/transactions/,2504,0,0
1613909386228,37804,,200,OK,Http URL/API Test 1-3,text,true,,138928,1593,20,20,https://host4:8443/api/transactions/47537,2575,0,0
1613909422122,2010,,201,Created,Http URL/API Test 1-14,text,true,,1569,139367,20,20,https://host4:8443/api/transactions/,2010,0,0
1613909422008,6943,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-20,text,true,,2871,391,20,20,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,6943,0,2464
1613909424635,4373,,201,Created,Http URL/API Test 1-11,text,true,,1569,139367,20,20,https://host4:8443/api/transactions/,4373,0,0
